Bin,Omega,HistogramDD,HistogramDR,HistogramRR
150.75-151.00,0.000000,0,0,0
151.00-151.25,0.000000,0,0,0
151.25-151.50,0.000000,0,0,0
151.50-151.75,0.000000,0,0,0
151.75-152.00,0.000000,0,0,0
152.00-152.25,0.000000,0,0,0
152.25-152.50,0.000000,0,0,0
152.50-152.75,0.000000,0,0,0
152.75-153.00,0.000000,0,0,0
153.00-153.25,0.000000,0,0,0
153.25-153.50,0.000000,0,0,0
153.50-153.75,0.000000,0,0,0
153.75-154.00,0.000000,0,0,0
154.00-154.25,0.000000,0,0,0
154.25-154.50,0.000000,0,0,0
154.50-154.75,0.000000,0,0,0
154.75-155.00,0.000000,0,0,0
155.00-155.25,0.000000,0,0,0
155.25-155.50,0.000000,0,0,0
155.50-155.75,0.000000,0,0,0
155.75-156.00,0.000000,0,0,0
156.00-156.25,0.000000,0,0,0
156.25-156.50,0.000000,0,0,0
156.50-156.75,0.000000,0,0,0
156.75-157.00,0.000000,0,0,0
157.00-157.25,0.000000,0,0,0
157.25-157.50,0.000000,0,0,0
157.50-157.75,0.000000,0,0,0
157.75-158.00,0.000000,0,0,0
158.00-158.25,0.000000,0,0,0
158.25-158.50,0.000000,0,0,0
158.50-158.75,0.000000,0,0,0
158.75-159.00,0.000000,0,0,0
159.00-159.25,0.000000,0,0,0
159.25-159.50,0.000000,0,0,0
159.50-159.75,0.000000,0,0,0
159.75-160.00,0.000000,0,0,0
160.00-160.25,0.000000,0,0,0
160.25-160.50,0.000000,0,0,0
160.50-160.75,0.000000,0,0,0
160.75-161.00,0.000000,0,0,0
161.00-161.25,0.000000,0,0,0
161.25-161.50,0.000000,0,0,0
161.50-161.75,0.000000,0,0,0
161.75-162.00,0.000000,0,0,0
162.00-162.25,0.000000,0,0,0
162.25-162.50,0.000000,0,0,0
162.50-162.75,0.000000,0,0,0
162.75-163.00,0.000000,0,0,0
163.00-163.25,0.000000,0,0,0
163.25-163.50,0.000000,0,0,0
163.50-163.75,0.000000,0,0,0
163.75-164.00,0.000000,0,0,0
164.00-164.25,0.000000,0,0,0
164.25-164.50,0.000000,0,0,0
164.50-164.75,0.000000,0,0,0
164.75-165.00,0.000000,0,0,0
165.00-165.25,0.000000,0,0,0
165.25-165.50,0.000000,0,0,0
165.50-165.75,0.000000,0,0,0
165.75-166.00,0.000000,0,0,0
166.00-166.25,0.000000,0,0,0
166.25-166.50,0.000000,0,0,0
166.50-166.75,0.000000,0,0,0
166.75-167.00,0.000000,0,0,0
167.00-167.25,0.000000,0,0,0
167.25-167.50,0.000000,0,0,0
167.50-167.75,0.000000,0,0,0
167.75-168.00,0.000000,0,0,0
168.00-168.25,0.000000,0,0,0
168.25-168.50,0.000000,0,0,0
168.50-168.75,0.000000,0,0,0
168.75-169.00,0.000000,0,0,0
169.00-169.25,0.000000,0,0,0
169.25-169.50,0.000000,0,0,0
169.50-169.75,0.000000,0,0,0
169.75-170.00,0.000000,0,0,0
170.00-170.25,0.000000,0,0,0
170.25-170.50,0.000000,0,0,0
170.50-170.75,0.000000,0,0,0
170.75-171.00,0.000000,0,0,0
171.00-171.25,0.000000,0,0,0
171.25-171.50,0.000000,0,0,0
171.50-171.75,0.000000,0,0,0
171.75-172.00,0.000000,0,0,0
172.00-172.25,0.000000,0,0,0
172.25-172.50,0.000000,0,0,0
172.50-172.75,0.000000,0,0,0
172.75-173.00,0.000000,0,0,0
173.00-173.25,0.000000,0,0,0
173.25-173.50,0.000000,0,0,0
173.50-173.75,0.000000,0,0,0
173.75-174.00,0.000000,0,0,0
174.00-174.25,0.000000,0,0,0
174.25-174.50,0.000000,0,0,0
174.50-174.75,0.000000,0,0,0
174.75-175.00,0.000000,0,0,0
175.00-175.25,0.000000,0,0,0
175.25-175.50,0.000000,0,0,0
175.50-175.75,0.000000,0,0,0
175.75-176.00,0.000000,0,0,0
176.00-176.25,0.000000,0,0,0
176.25-176.50,0.000000,0,0,0
176.50-176.75,0.000000,0,0,0
176.75-177.00,0.000000,0,0,0
177.00-177.25,0.000000,0,0,0
177.25-177.50,0.000000,0,0,0
177.50-177.75,0.000000,0,0,0
177.75-178.00,0.000000,0,0,0
178.00-178.25,0.000000,0,0,0
178.25-178.50,0.000000,0,0,0
178.50-178.75,0.000000,0,0,0
178.75-179.00,0.000000,0,0,0
179.00-179.25,0.000000,0,0,0
179.25-179.50,0.000000,0,0,0
179.50-179.75,0.000000,0,0,0
179.75-180.00,0.000000,0,0,0
